descricao,preco,ano,km_rodado,localizacao
Chevrolet Prisma 1.4 Lt Aut. 4p,60.900,2017,109.000 Km,São Geraldo - Belo Horizonte
Bmw X1 2.0 Sdrive20i Gp Active Flex 5p,129.900,2018,109.000 Km,São Geraldo - Belo Horizonte
Chevrolet Onix Plus Plus Joy Black,53.900,2020,109.000 Km,São Geraldo - Belo Horizonte
Ford Ka+ 1.5 Se Plus Flex 4p,55.900,2020,109.000 Km,São Geraldo - Belo Horizonte
Ford Ka 1.5 Sedan Se 12v Flex 4p Aut.,57.900,2019,109.000 Km,São Geraldo - Belo Horizonte
Volvo Xc60 2.0 T5 R Design Turbo Gasolina 4p Automático,85.990,2015,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Virtus Comfort. 200 Tsi 1.0 Flex 12v Aut,69.900,2018,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen T-cross 1.0 200 Tsi Total Flex Automático,92.900,2020,109.000 Km,São Geraldo - Belo Horizonte
Ford Ka 1.5 Se Flex 4p,54.000,2019,109.000 Km,São Geraldo - Belo Horizonte
Fiat Palio 1.4 Attractive Flex 5p,38.800,2013,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Up! Move 1.0 Tsi Total Flex Mec. 4p,49.990,2016,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Fox 1.6 Mi 8v Flex 4p Manual,39.900,2013,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Fox 1.6 Msi Highline 16v Flex 4p Manual,49.990,2016,109.000 Km,São Geraldo - Belo Horizonte
Jeep Compass 2.0 16v Flex Limited Automático,97.990,2017,109.000 Km,São Geraldo - Belo Horizonte
Honda Hr-v 1.8 16v Flex Lx 4p Automático,79.990,2016,109.000 Km,São Geraldo - Belo Horizonte
Fiat Argo 1.0 Firefly Flex Drive Manual,52.990,2019,109.000 Km,São Geraldo - Belo Horizonte
Honda Hr-v Hr-v Ex Cvt,89.900,2018,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Up! 1.0 Take 3p,36.900,2016,109.000 Km,São Geraldo - Belo Horizonte
Hyundai Hb20s 1.6 Comfort Plus Flex 4p,49.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Renault Sandero 1.0 12v Authentique Sce 5p,37.900,2017,109.000 Km,São Geraldo - Belo Horizonte
Chevrolet Equinox 2.0 16v Turbo Gasolina Premier Awd Automático,126.900,2019,109.000 Km,São Geraldo - Belo Horizonte
Jeep Compass 2.0 16v Flex Longitude Automático,94.900,2018,109.000 Km,São Geraldo - Belo Horizonte
Chevrolet Onix 1.0 Flex Plus Lt Manual,61.900,2020,109.000 Km,São Geraldo - Belo Horizonte
Land Rover Discovery Sport Lr Disc Spt Sd4 Se,109.900,2016,109.000 Km,São Geraldo - Belo Horizonte
Ford Fiesta 1.5 Se Hatch 16v Flex 4p Manual,38.500,2014,109.000 Km,São Geraldo - Belo Horizonte
Honda Hr-v 1.8 Ex Flex Aut. 5p,91.900,2017,109.000 Km,São Geraldo - Belo Horizonte
Nissan March 1.6 16v Sl Aut. 5p,54.900,2017,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Up! Take 1.0 Total Flex 12v 5p,38.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Fox 1.0 Mi 8v Flex 4p Manual,24.900,2009,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Fox 1.6 Mi Flex 8v 4p Manual,36.890,2012,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Fox 1.0 Vht Trend Total Flex 5p,29.000,2011,109.000 Km,São Geraldo - Belo Horizonte
Audi Q5 2.0 Tfsi Attraction Tiptronic Quattro 5p,102.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Up! 1.0 High 5p,42.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual,41.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Peugeot 207 1.4 Xr 8v Flex 2p Manual,22.890,2011,109.000 Km,São Geraldo - Belo Horizonte
Fiat Uno Vivace 1.0,29.900,2015,109.000 Km,São Geraldo - Belo Horizonte
Hyundai Hb20s 1.6 Comfort Style 16v Flex 4p Automático,54.900,2014,109.000 Km,São Geraldo - Belo Horizonte
Chevrolet Onix 1.0 Joy 5p,49.900,2019,109.000 Km,São Geraldo - Belo Horizonte
Toyota Etios 1.5 X Plus 16v Flex 4p Automático,67.990,2020,108.000 Km,Belo Horizonte
Hyundai Ix35 X35 B,82.900,2017,108.000 Km,Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual,39.990,2018,108.000 Km,Belo Horizonte
Fiat Argo Drive 1.0,49.990,2018,108.000 Km,Belo Horizonte
Fiat Mobi Easy,34.990,2017,108.000 Km,Belo Horizonte
Ford Ka Sedan 1.0 Ti-vct Flex Se Manual,42.990,2018,108.000 Km,Belo Horizonte
Chevrolet Equinox 2.0 Premier Turbo Awd Aut. 5p,118.500,2018,108.000 Km,Belo Horizonte
Volkswagen Tiguan 1.4 Tsi 16v Turbo Gasolina 4p Dsg,91.000,2017,108.000 Km,Belo Horizonte
Toyota Hilux Sw4 Hilux Swsrxa4fd,269.900,2020,108.000 Km,Belo Horizonte
Renault Logan 1.0 12v Expression Sce 4p,49.900,2020,108.000 Km,Belo Horizonte
Land Rover Discovery Sport 2.2 16v Sd4 Turbo Diesel Hse Luxury 4p Automático,137.900,2016,108.000 Km,Belo Horizonte
Chevrolet Prisma 1.4 Mpfi Ltz 8v Flex 4p Manual,50.900,2015,108.000 Km,Belo Horizonte
Jeep Renegade 1.8 16v Flex Sport 4p Automático,69.900,2018,108.000 Km,Belo Horizonte
Volkswagen Gol 1.0 Mi Special 8v Flex 4p Manual,37.900,2015,108.000 Km,Belo Horizonte
Chevrolet Onix 10mt Joye,44.900,2017,108.000 Km,Belo Horizonte
Renault Sandero 1.6 16v Sce Flex Dynamique Manual,54.900,2018,108.000 Km,Belo Horizonte
Renault Captur 1.6 16v Sce Flex Zen Manual,69.900,2019,108.000 Km,Belo Horizonte
Citroën C3 1.5 Tendance 8v Flex 4p Manual,38.900,2014,108.000 Km,Belo Horizonte
Volkswagen T-cross T-cross 1.0 200 Tsi Total Flex Automatico,88.900,2020,108.000 Km,Belo Horizonte
Volkswagen Gol 1.0 Trendline Total Flex 5p,40.900,2015,108.000 Km,Belo Horizonte
Fiat Uno 1.0 Attractive Flex 5p,46.900,2020,108.000 Km,Belo Horizonte
Nissan March 1.0 12v Conforto 5p,38.990,2015,108.000 Km,Belo Horizonte
Jeep Renegade 1.8 Longitude Flex Aut. 5p,69.900,2016,108.000 Km,Belo Horizonte
Mitsubishi Asx 2.0 Oneill 4x2 16v Gasolina 4p Automático,70.900,2016,108.000 Km,Belo Horizonte
Nissan March 1.0 S 12v Flex 4p Manual,49.900,2019,108.000 Km,Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Plus Manual,48.900,2019,108.000 Km,Belo Horizonte
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,74.900,2016,108.000 Km,Belo Horizonte
Fiat Mobi 1.0 Evo Flex Like. Manual,49.900,2020,108.000 Km,Belo Horizonte
Ford Ka 1.0 Se/se Plus Tivct Flex 5p,47.980,2019,108.000 Km,Belo Horizonte
Renault Kwid 1.0 12v Intense Sce 5p,45.900,2019,108.000 Km,Belo Horizonte
Chevrolet Tracker 1.4 16v Turbo Flex Ltz Automático,84.890,2017,108.000 Km,Belo Horizonte
Renault Duster 1.6 Expression 4x2 16v Flex 4p Manual,60.990,2016,108.000 Km,Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual,40.999,2018,108.000 Km,Belo Horizonte
Ford Ka 1.5 Ti-vct Flex Se Manual,49.990,2019,108.000 Km,Belo Horizonte
Ford Fiesta 1.6 16v Sel Flex Powershift 5p,52.900,2017,108.000 Km,Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual,53.900,2019,108.000 Km,Belo Horizonte
Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual,46.900,2017,108.000 Km,Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual,48.900,2019,108.000 Km,Belo Horizonte
Ford Ecosport Se At 1.5,74.900,2020,108.000 Km,Belo Horizonte
Fiat Mobi 1.0 Evo Flex Way Manual,47.900,2019,108.000 Km,Belo Horizonte
Mitsubishi Lancer 2.0 Hl 16v Gasolina 4p Automático,58.900,2016,108.000 Km,Belo Horizonte
Jeep Compass 2.0 16v Diesel Longitude 4x4 Automático,109.900,2018,108.000 Km,Belo Horizonte
Renault Duster 2.0 Dynamique 4x2 16v Flex 4p Automático,57.900,2015,108.000 Km,Belo Horizonte
Renault Kwid 1.0 12v Sce Flex Zen Manual,41.900,2019,108.000 Km,Belo Horizonte
Mercedes-benz Gla 250 2.0 16v Turbo Gasolina Sport 4p Automático,137.900,2016,108.000 Km,Belo Horizonte
Jeep Renegade 2.0 16v Turbo Diesel Sport 4p 4x4 Automático,79.900,2016,108.000 Km,Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual,44.900,2018,108.000 Km,Belo Horizonte
Fiat Uno 1.4 Way 8v Flex 4p Manual,32.900,2012,108.000 Km,Belo Horizonte
Jeep Compass 2.0 Longitude Flex Aut. 5p,94.000,2017,63.000 Km,São Vicente - Itajubá
Ford Ecosport 2.0 16v Freestyle Flex Powershift 5p,55.900,2015,63.000 Km,São Vicente - Itajubá
Hyundai Hb20 1.0 Comfort Plus 12v Flex 4p Manual,53.990,2018,63.000 Km,São Vicente - Itajubá
Ford Ka 1.0 Ti-vct Flex Se Manual,49.990,2020,63.000 Km,São Vicente - Itajubá
Suzuki Vitara 1.4 16v Turbo Gasolina 4sport Automático,87.900,2018,63.000 Km,São Vicente - Itajubá
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,73.900,2016,63.000 Km,São Vicente - Itajubá
Jeep Renegade Lngtd At,71.900,2017,63.000 Km,São Vicente - Itajubá
Chevrolet Tracker Lt,82.900,2019,63.000 Km,São Vicente - Itajubá
Renault Duster Oroch 2.0 16v Hi-flex Dynamique Automático,79.900,2020,63.000 Km,São Vicente - Itajubá
Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p,89.900,2018,63.000 Km,São Vicente - Itajubá
Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual,42.900,2016,63.000 Km,São Vicente - Itajubá
Volkswagen Fox 1.6 Vht Trend Total Flex 5p,36.900,2012,63.000 Km,São Vicente - Itajubá
Fiat Mobi 1.0 Evo Flex Way Manual,46.900,2019,63.000 Km,São Vicente - Itajubá
Fiat Bravo 1.8 16v Blackmotion Flex 5p,48.900,2016,63.000 Km,São Vicente - Itajubá
Volkswagen Jetta 1.4 Tsi Trendline 4p Manual,68.900,2016,63.000 Km,São Vicente - Itajubá
Jeep Renegade 1.8 Limited Flex Aut. 5p 6 Marchas,96.990,2021,63.000 Km,São Vicente - Itajubá
Citroën C4 Lounge 1.6 Thp Exclusive Aut. 4p,47.900,2014,63.000 Km,São Vicente - Itajubá
Renault Kwid 1.0 12v Sce Flex Intense Manual,44.900,2020,63.000 Km,São Vicente - Itajubá
Ford Ka Hatch Se 1.0 C _4p_,46.900,2020,63.000 Km,São Vicente - Itajubá
Chevrolet Onix 1.4 Lt 5p,51.900,2017,63.000 Km,São Vicente - Itajubá
Nissan Kicks 1.6 16v Flexstart Sv 4p Xtronic,84.900,2018,63.000 Km,São Vicente - Itajubá
Fiat Mobi 1.0 Evo Flex Like. Manual,49.900,2020,63.000 Km,São Vicente - Itajubá
Ford Fiesta 1.0 Rocam Se Flex 5p,34.900,2014,63.000 Km,São Vicente - Itajubá
Ford Ka 1.0 Se Flex 4p,48.900,2019,63.000 Km,São Vicente - Itajubá
Volkswagen Gol 1.6 Vht Total Flex 3p,38.900,2015,63.000 Km,São Vicente - Itajubá
Renault Duster 1.6 16v Expression Hi-flex 5p,58.900,2016,63.000 Km,São Vicente - Itajubá
Volkswagen Fox 1.6 Connect Total Flex 5p,52.000,2018,63.000 Km,São Vicente - Itajubá
Volvo Xc40 2.0 T5 Gasolina Momentum Awd Geartronic,135.900,2019,63.000 Km,São Vicente - Itajubá
Volkswagen Up! 1.0 Take 5p,34.900,2015,63.000 Km,São Vicente - Itajubá
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual,58.900,2018,63.000 Km,São Vicente - Itajubá
Toyota Etios X 1.3 Flex 16v 5p Aut.,54.900,2017,63.000 Km,São Vicente - Itajubá
Hyundai Creta 2.0 16v Flex Prestige Automático,101.900,2020,63.000 Km,São Vicente - Itajubá
Jeep Compass 2.0 16v Diesel Longitude 4x4 Automático,102.800,2018,63.000 Km,São Vicente - Itajubá
Fiat Argo 1.0 Drive Flex 5p,52.900,2019,63.000 Km,São Vicente - Itajubá
Ford Fiesta 1.6 Rocam Hatch 8v Flex 4p Manual,37.900,2013,63.000 Km,São Vicente - Itajubá
Fiat 500 Cult,39.990,2012,63.000 Km,São Vicente - Itajubá
Volkswagen Gol 1.6 Msi Totalflex 4p Manual,49.900,2019,63.000 Km,São Vicente - Itajubá
Audi Q3 1.4 Tfsi Flex Prestige S Tronic,122.751,2019,63.000 Km,São Vicente - Itajubá
Hyundai Creta 2.0 16v Flex Prestige Automático,97.900,2020,63.000 Km,São Vicente - Itajubá
Volkswagen T-cross 1.0 200 Tsi Aut. 5p,90.900,2020,63.000 Km,São Vicente - Itajubá
Volkswagen Gol 1.6 Msi Totalflex 4p Manual,49.900,2019,63.000 Km,São Vicente - Itajubá
Ford Ka 1.0 Ti-vct Flex Se Sedan Manual,46.890,2020,63.000 Km,São Vicente - Itajubá
Jaguar F-pace 3.0 V6 R-sport Supercharged 5p,234.900,2017,63.000 Km,São Vicente - Itajubá
Volkswagen Voyage 1.0 12v Total Flex 4p,47.900,2019,63.000 Km,São Vicente - Itajubá
Chevrolet Onix 1.0 Joy 5p,49.900,2018,63.000 Km,São Vicente - Itajubá
Audi Q3 1.4 Tfsi Attraction Gasolina 4p S Tronic,91.900,2016,63.000 Km,São Vicente - Itajubá
Renault Sandero 1.6 Privilége 8v Flex 4p Manual,29.890,2012,63.000 Km,São Vicente - Itajubá
Suzuki Vitara 1.6 16v Gasolina 4you Allgrip Automático,86.900,2018,63.000 Km,São Vicente - Itajubá
Ford Ka 1.0 Se Flex 5p,41.900,2017,96.250 Km,Vitorino Braga - Juiz de Fora
Fiat Uno 1.4 Evo Sporting 8v Flex 4p Automatizado,48.990,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Sandero 1.0 Expression 16v Flex 4p Manual,29.990,2014,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Onix Hatch Ls 1.0 8v Flexpower 5p Mec.,44.900,2015,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Renegade 1.8 16v Flex 4p Automático,75.990,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Prisma 1.0 Lt 4p,43.900,2014,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Sandero 1.0 12v Sce Flex Authentique Manual,43.990,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ecosport Ford Ecosport Ecosport Se Powershift 1.6 (flex),56.900,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Fiat Mobi 1.0 Evo Like.,47.499,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Hyundai Creta 1.6 Attitude Flex Aut. (pcd) 5p,78.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ka 1.0 Mpi 8v Flex 2p Manual,22.900,2012,96.250 Km,Vitorino Braga - Juiz de Fora
Fiat Mobi Easy,39.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Compass 2.0 Trailhawk Aut. 5p,115.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Onix Hatch Joy 1.0 8v Flex 5p Mec.,47.900,2019,96.250 Km,Vitorino Braga - Juiz de Fora
Fiat Uno 1.4 Evo Sporting 8v Flex 4p Manual,32.990,2014,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Renegade 2.0 16v Turbo Diesel Trailhawk 4p 4x4 Automático,118.900,2019,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Renegade 1.8 16v Flex 4p Automático,79.900,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Citroën C3 1.5 Exclusive 8v Flex 4p Manual,41.900,2015,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual,48.900,2019,96.250 Km,Vitorino Braga - Juiz de Fora
Nissan Kicks 1.6 16v Sl Aut. 5p,78.900,2017,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Kwid 1.0 Outsider 12v Sce 5p,47.990,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Captur 1.6 16v Sce Flex Intense X-tronic,75.900,2019,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Compass 2.0 Longitude Flex Aut. 5p,89.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ka 1.0 Ti-vct Flex Se Plus Manual,57.900,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ka 1.0 Se Flex 5p,36.900,2015,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ka 1.5 Se Plus 12v Flex 5p Mec.,56.980,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Hyundai Ix35 2.0 Mpfi Gls 16v Flex 4p Automático,89.900,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Honda Hr-v 1.8 16v Flex Ex 4p Automático,93.800,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Chery Tiggo 5x 1.5 Vvt Turbo Iflex Txs Dct,89.990,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Duster 1.6 16v Sce Flex Expression Manual,68.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Honda Accord 3.0 Ex V6 24v Gasolina 4p Automático,49.900,2007,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Compass 2.0 16v Flex Longitude Automático,93.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Peugeot 2008 1.6 16v Flex Griffe 4p Automático,59.900,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Citroën C3 1.6 Picasso Glx 16v Flex 4p Manual,30.990,2012,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Sandero 1.0 12v Sce Flex Life Manual,48.900,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Volvo Xc90 2.0 T8 Hybrid Inscription Awd Geartronic,315.900,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Jeep Renegade 2.0 Sport 75 Anos 4x4 Aut. 5p,86.800,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual,51.900,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Land Rover Evoque 2.0 Si4 Se Dynamic 5p,124.900,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Honda Hr-v 1.8 16v Flex Touring 4p Automático,99.900,2017,96.250 Km,Vitorino Braga - Juiz de Fora
Volkswagen Gol 1.0 Mi Trendline 8v Flex 4p Manual,37.990,2015,96.250 Km,Vitorino Braga - Juiz de Fora
Audi Q3 1.4 Tfsi Ambiente Gasolina 4p S Tronic,84.700,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Chevrolet Tracker 1.4 16v Turbo Flex Premier Automático,84.990,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Volkswagen Up! 1.0 Mpi Move Up 12v Flex 4p Manual,44.900,2016,96.250 Km,Vitorino Braga - Juiz de Fora
Renault Duster 1.6 16v Sce Flex Expression Manual,64.900,2018,96.250 Km,Vitorino Braga - Juiz de Fora
Hyundai Hb20 1.0 Comfort 12v Flex 4p Manual,49.900,2017,96.250 Km,Vitorino Braga - Juiz de Fora
Volkswagen Fox 1.0 Mi 8v Flex 4p Manual,32.900,2011,96.250 Km,Vitorino Braga - Juiz de Fora
Ford Ka Se 1.0 Ha C,54.740,2020,96.250 Km,Vitorino Braga - Juiz de Fora
Mercedes-benz Classe Ml Ml63 Amg Bi Turbo V8,218.000,2014,85.000 Km,Nova Lima
Audi Q5 2.0 Tfsi Gasolina Ambiente S Tronic,167.900,2018,85.000 Km,Nova Lima
Renault Kwid 1.0 12v Sce Flex Zen Manual,46.900,2019,85.000 Km,Nova Lima
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual,48.900,2015,85.000 Km,Nova Lima
Jeep Renegade 2.0 16v Turbo Diesel Sport 4p 4x4 Aut,83.900,2016,85.000 Km,Nova Lima
Toyota Etios Sedán Toyota Etios Sedan X Plus 1.5 (aut) (flex),65.900,2020,85.000 Km,Nova Lima
Fiat Uno Fiat Uno Sporting 1.4 8v (flex) 4p,36.900,2014,85.000 Km,Nova Lima
Kia Sorento 3.3 Ex V6 24v Gasolina 4p 7 Lugares Automatico,146.900,2018,85.000 Km,Nova Lima
Chevrolet Prisma 1.4 Lt 4p,58.900,2018,85.000 Km,Nova Lima
Fiat Uno Drive 1.0 Firefly (flex),39.900,2018,85.000 Km,Nova Lima
Ford Ka 1.0 Se 12v Flex 4p Manual,45.900,2017,85.000 Km,Nova Lima
Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual,43.900,2018,85.000 Km,Nova Lima
Jeep Compass 2.0 Limited Flex Aut. 5p,89.900,2017,85.000 Km,Nova Lima
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático,125.900,2017,85.000 Km,Nova Lima
Volkswagen Fox 1.6 Connect Total Flex 5p,52.900,2018,85.000 Km,Nova Lima
Hyundai Hb20s 1.6 Comfort Style 16v Flex 4p Automático,69.900,2019,85.000 Km,Nova Lima
Fiat Mobi 1.0 Like Flex 5p,48.000,2018,85.000 Km,Nova Lima
Ford Fiesta 1.6 8v Flex/class 1.6 8v Flex 5p,29.900,2011,85.000 Km,Nova Lima
Honda Hr-v 1.8 16v Flex Ex 4p Automático,92.900,2016,85.000 Km,Nova Lima
Ford Fiesta 1.5 Se Flex 5p,44.300,2016,85.000 Km,Nova Lima
Ford Ecosport 2.0 Direct Flex Storm 4wd Automático,79.900,2019,85.000 Km,Nova Lima
Ford Ka 1.0 Se Flex 4p,49.900,2020,85.000 Km,Nova Lima
Volkswagen Gol 1.6 Msi Total Flex 5p,49.900,2019,85.000 Km,Nova Lima
Jeep Renegade 1.8 Longitude Flex Aut. 5p,71.900,2016,85.000 Km,Nova Lima
Jeep Compass 2.0 Longitude Aut. 5p,109.900,2018,85.000 Km,Nova Lima
Land Rover Discovery Sport 2.0 16v Si4 Turbo Gasolina Hse Luxury 4p Automático,150.900,2018,85.000 Km,Nova Lima
Jeep Renegade 1.8 Sport Flex Aut. 5p,68.999,2016,85.000 Km,Nova Lima
Land Rover Discovery Sport 2.0 16v Td4 Turbo Diesel Hse 4p Automático,129.800,2017,85.000 Km,Nova Lima
Volkswagen Gol 1.0 Mi 8v Flex 2p Manual G.iv,23.890,2010,85.000 Km,Nova Lima
Fiat Punto 1.4 Attractive Italia 8v Flex 4p Manual,39.990,2013,85.000 Km,Nova Lima
Volkswagen Gol 1.6 Msi Total Flex 5p,49.900,2019,85.000 Km,Nova Lima
Nissan Kicks 1.6 16v Sl Aut. 5p,82.990,2018,85.000 Km,Nova Lima
Fiat Uno 1.0 Fire Flex Attractive Manual,46.900,2020,85.000 Km,Nova Lima
Jeep Renegade 1.8 16v Flex Limited 4p Aut,77.900,2017,85.000 Km,Nova Lima
Renault Duster 2.0 Dynamique 4x4 16v Flex 4p Manual,60.900,2017,85.000 Km,Nova Lima
Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p,89.900,2018,85.000 Km,Nova Lima
Renault Captur 1.6 16v Sce Flex Bose X-tronic,83.990,2020,85.000 Km,Nova Lima
Citroën C3 1.6 Exclusive 16v Flex 4p Manual,35.900,2013,85.000 Km,Nova Lima
Honda Hr-v 1.8 Ex Flex Aut. 5p,115.000,2019,85.000 Km,Nova Lima
Bmw X2 2.0 Twinpower Gasolina M35i Xdrive Steptronic,269.800,2020,85.000 Km,Nova Lima
Chevrolet Prisma 1.4 Lt 4p,49.900,2014,85.000 Km,Nova Lima
Renault Sandero 1.6 Expression Hi-power 5p,38.900,2016,85.000 Km,Nova Lima
Citroën C3 1.4 8v Glx Flex 5p,26.900,2010,85.000 Km,Nova Lima
Volkswagen Fox 1.6 Mi Rock In Rio 8v Flex 4p,52.000,2015,85.000 Km,Nova Lima
Honda Hr-v 1.8 16v Flex Exl 4p Automático,84.900,2016,85.000 Km,Nova Lima
Chevrolet Prisma 1.0 Mpfi Lt 8v Flex 4p Manual,37.900,2013,85.000 Km,Nova Lima
Renault Sandero 1.6 Expression Hi-power 5p,45.900,2016,85.000 Km,Nova Lima
Volkswagen Golf 1.6 Msi Comfortline Flex 5p,72.900,2016,85.000 Km,Nova Lima
Ford Ka+ 1.0 Se Flex 4p,48.900,2020,104.000 Km,Santa Mônica - Uberlândia
Jeep Renegade 2.0 Longitude 4x4 Aut. 5p,97.000,2019,104.000 Km,Santa Mônica - Uberlândia
Renault Captur 1.6 16v Sce Flex Zen Manual,73.990,2018,104.000 Km,Santa Mônica - Uberlândia
Ford Focus 2.0 Titanium Sedan 16v Flex 4p Automático,30.000,2013,104.000 Km,Santa Mônica - Uberlândia
Bmw X6 4.4 M 5p,150.000,2011,104.000 Km,Santa Mônica - Uberlândia
Land Rover Discovery 4 3.0 Black 4x4 V6 24v Bi-turbo Diesel 4p Automático,189.900,2016,104.000 Km,Santa Mônica - Uberlândia
Jeep Renegade 1.8 Sport Flex 5p,67.900,2018,104.000 Km,Santa Mônica - Uberlândia
Audi Q3 1.4 35 Tfsi Gasolina Prestige S Tronic,154.990,2020,104.000 Km,Santa Mônica - Uberlândia
Jeep Compass 2.0 16v Flex Longitude Automático,113.900,2020,104.000 Km,Santa Mônica - Uberlândia
Renault Duster 1.6 Expression 4x2 16v Flex 4p Manual,56.900,2015,104.000 Km,Santa Mônica - Uberlândia
Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv,34.900,2014,104.000 Km,Santa Mônica - Uberlândia
Renault Sandero 1.0 Expression 16v Flex 4p Manual,33.990,2012,104.000 Km,Santa Mônica - Uberlândia
Fiat Argo 1.3 Firefly Flex Drive Gsr,54.000,2018,104.000 Km,Santa Mônica - Uberlândia
Volkswagen Gol 1.0 Track Tec Total Flex 5p,38.900,2014,104.000 Km,Santa Mônica - Uberlândia
Peugeot 207 1.4 Xr Sport Flex 5p,20.900,2009,104.000 Km,Santa Mônica - Uberlândia
Chevrolet Onix 1.4mt Lt,48.900,2015,104.000 Km,Santa Mônica - Uberlândia
Volkswagen Voyage 1.6 Vht Comfortline Total Flex 4p,33.900,2011,104.000 Km,Santa Mônica - Uberlândia
Jeep Renegade Longitude 1.8 4x2 Flex 16v Aut.,71.900,2016,104.000 Km,Santa Mônica - Uberlândia
Honda City 1.5 Lx Flex Aut. 4p,64.900,2015,104.000 Km,Santa Mônica - Uberlândia
Jeep Compass 2.0 16v Flex Sport Automático,97.900,2018,104.000 Km,Santa Mônica - Uberlândia
Renault Captur 1.6 16v Sce Flex Zen Manual,77.900,2019,104.000 Km,Santa Mônica - Uberlândia
Ford Ka Sedan 1.5 Sigma Flex Se Plus Manual,54.900,2018,104.000 Km,Santa Mônica - Uberlândia
Ford Ka 1.5 Ti-vct Flex Se Plus Sedan Manual,55.900,2019,104.000 Km,Santa Mônica - Uberlândia
Jeep Renegade Longitude 1.8 4x2 Flex 16v Aut.,70.900,2016,104.000 Km,Santa Mônica - Uberlândia
