descricao;preco;ano;km_rodado;localizacao
Fiat Argo 1.0 Firefly Flex Drive Manual;52.990;2019;76.000 Km;Brasil - Uberlândia
Honda Hr-v Hr-v Ex Cvt;89.900;2018;76.000 Km;Brasil - Uberlândia
Volkswagen Up! 1.0 Take 3p;36.900;2016;76.000 Km;Brasil - Uberlândia
Hyundai Hb20s 1.6 Comfort Plus Flex 4p;49.900;2015;76.000 Km;Brasil - Uberlândia
Renault Sandero 1.0 12v Authentique Sce 5p;37.900;2017;76.000 Km;Brasil - Uberlândia
Chevrolet Equinox 2.0 16v Turbo Gasolina Premier Awd Automático;126.900;2019;76.000 Km;Brasil - Uberlândia
Jeep Compass 2.0 16v Flex Longitude Automático;94.900;2018;76.000 Km;Brasil - Uberlândia
Chevrolet Onix 1.0 Flex Plus Lt Manual;61.900;2020;76.000 Km;Brasil - Uberlândia
Land Rover Discovery Sport Lr Disc Spt Sd4 Se;109.900;2016;76.000 Km;Brasil - Uberlândia
Ford Fiesta 1.5 Se Hatch 16v Flex 4p Manual;38.500;2014;76.000 Km;Brasil - Uberlândia
Honda Hr-v 1.8 Ex Flex Aut. 5p;91.900;2017;76.000 Km;Brasil - Uberlândia
Nissan March 1.6 16v Sl Aut. 5p;54.900;2017;76.000 Km;Brasil - Uberlândia
Volkswagen Up! Take 1.0 Total Flex 12v 5p;38.900;2015;76.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.0 Mi 8v Flex 4p Manual;24.900;2009;76.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.6 Mi Flex 8v 4p Manual;36.890;2012;76.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.0 Vht Trend Total Flex 5p;29.000;2011;76.000 Km;Brasil - Uberlândia
Audi Q5 2.0 Tfsi Attraction Tiptronic Quattro 5p;102.900;2015;76.000 Km;Brasil - Uberlândia
Volkswagen Up! 1.0 High 5p;42.900;2015;76.000 Km;Brasil - Uberlândia
Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual;41.900;2015;76.000 Km;Brasil - Uberlândia
Peugeot 207 1.4 Xr 8v Flex 2p Manual;22.890;2011;76.000 Km;Brasil - Uberlândia
Fiat Uno Vivace 1.0;29.900;2015;76.000 Km;Brasil - Uberlândia
Hyundai Hb20s 1.6 Comfort Style 16v Flex 4p Automático;54.900;2014;76.000 Km;Brasil - Uberlândia
Chevrolet Onix 1.0 Joy 5p;49.900;2019;76.000 Km;Brasil - Uberlândia
Toyota Etios 1.5 X Plus 16v Flex 4p Automático;67.990;2020;76.000 Km;Brasil - Uberlândia
Hyundai Ix35 X35 B;82.900;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual;39.990;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Argo Drive 1.0;49.990;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Mobi Easy;34.990;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka Sedan 1.0 Ti-vct Flex Se Manual;42.990;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Chevrolet Equinox 2.0 Premier Turbo Awd Aut. 5p;118.500;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Volkswagen Tiguan 1.4 Tsi 16v Turbo Gasolina 4p Dsg;91.000;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Toyota Hilux Sw4 Hilux Swsrxa4fd;269.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Logan 1.0 12v Expression Sce 4p;49.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Land Rover Discovery Sport 2.2 16v Sd4 Turbo Diesel Hse Luxury 4p Automático;137.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Chevrolet Prisma 1.4 Mpfi Ltz 8v Flex 4p Manual;50.900;2015;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Renegade 1.8 16v Flex Sport 4p Automático;69.900;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Volkswagen Gol 1.0 Mi Special 8v Flex 4p Manual;37.900;2015;135.000 Km;Padre Eustáquio - Belo Horizonte
Chevrolet Onix 10mt Joye;44.900;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Sandero 1.6 16v Sce Flex Dynamique Manual;54.900;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Captur 1.6 16v Sce Flex Zen Manual;69.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Citroën C3 1.5 Tendance 8v Flex 4p Manual;38.900;2014;135.000 Km;Padre Eustáquio - Belo Horizonte
Volkswagen T-cross T-cross 1.0 200 Tsi Total Flex Automatico;88.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Volkswagen Gol 1.0 Trendline Total Flex 5p;40.900;2015;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Uno 1.0 Attractive Flex 5p;46.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Nissan March 1.0 12v Conforto 5p;38.990;2015;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Renegade 1.8 Longitude Flex Aut. 5p;69.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Mitsubishi Asx 2.0 Oneill 4x2 16v Gasolina 4p Automático;70.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Nissan March 1.0 S 12v Flex 4p Manual;49.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Plus Manual;48.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Renegade 1.8 16v Flex Longitude 4p Automático;74.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Mobi 1.0 Evo Flex Like. Manual;49.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Se/se Plus Tivct Flex 5p;47.980;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Kwid 1.0 12v Intense Sce 5p;45.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Chevrolet Tracker 1.4 16v Turbo Flex Ltz Automático;84.890;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Duster 1.6 Expression 4x2 16v Flex 4p Manual;60.990;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual;40.999;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.5 Ti-vct Flex Se Manual;49.990;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Fiesta 1.6 16v Sel Flex Powershift 5p;52.900;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;53.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;46.900;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual;48.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ecosport Se At 1.5;74.900;2020;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Mobi 1.0 Evo Flex Way Manual;47.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Mitsubishi Lancer 2.0 Hl 16v Gasolina 4p Automático;58.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Compass 2.0 16v Diesel Longitude 4x4 Automático;109.900;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Duster 2.0 Dynamique 4x2 16v Flex 4p Automático;57.900;2015;135.000 Km;Padre Eustáquio - Belo Horizonte
Renault Kwid 1.0 12v Sce Flex Zen Manual;41.900;2019;135.000 Km;Padre Eustáquio - Belo Horizonte
Mercedes-benz Gla 250 2.0 16v Turbo Gasolina Sport 4p Automático;137.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Renegade 2.0 16v Turbo Diesel Sport 4p 4x4 Automático;79.900;2016;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual;44.900;2018;135.000 Km;Padre Eustáquio - Belo Horizonte
Fiat Uno 1.4 Way 8v Flex 4p Manual;32.900;2012;135.000 Km;Padre Eustáquio - Belo Horizonte
Jeep Compass 2.0 Longitude Flex Aut. 5p;94.000;2017;135.000 Km;Padre Eustáquio - Belo Horizonte
Ford Ecosport 2.0 16v Freestyle Flex Powershift 5p;55.900;2015;139.000 Km;Centro - Poços de Caldas
Hyundai Hb20 1.0 Comfort Plus 12v Flex 4p Manual;53.990;2018;139.000 Km;Centro - Poços de Caldas
Ford Ka 1.0 Ti-vct Flex Se Manual;49.990;2020;139.000 Km;Centro - Poços de Caldas
Suzuki Vitara 1.4 16v Turbo Gasolina 4sport Automático;87.900;2018;139.000 Km;Centro - Poços de Caldas
Jeep Renegade 1.8 16v Flex Longitude 4p Automático;73.900;2016;139.000 Km;Centro - Poços de Caldas
Jeep Renegade Lngtd At;71.900;2017;139.000 Km;Centro - Poços de Caldas
Chevrolet Tracker Lt;82.900;2019;139.000 Km;Centro - Poços de Caldas
Renault Duster Oroch 2.0 16v Hi-flex Dynamique Automático;79.900;2020;139.000 Km;Centro - Poços de Caldas
Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p;89.900;2018;139.000 Km;Centro - Poços de Caldas
Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual;42.900;2016;139.000 Km;Centro - Poços de Caldas
Volkswagen Fox 1.6 Vht Trend Total Flex 5p;36.900;2012;139.000 Km;Centro - Poços de Caldas
Fiat Mobi 1.0 Evo Flex Way Manual;46.900;2019;139.000 Km;Centro - Poços de Caldas
Fiat Bravo 1.8 16v Blackmotion Flex 5p;48.900;2016;139.000 Km;Centro - Poços de Caldas
Volkswagen Jetta 1.4 Tsi Trendline 4p Manual;68.900;2016;139.000 Km;Centro - Poços de Caldas
Jeep Renegade 1.8 Limited Flex Aut. 5p 6 Marchas;96.990;2021;139.000 Km;Centro - Poços de Caldas
Citroën C4 Lounge 1.6 Thp Exclusive Aut. 4p;47.900;2014;139.000 Km;Centro - Poços de Caldas
Renault Kwid 1.0 12v Sce Flex Intense Manual;44.900;2020;139.000 Km;Centro - Poços de Caldas
Ford Ka Hatch Se 1.0 C _4p_;46.900;2020;139.000 Km;Centro - Poços de Caldas
Chevrolet Onix 1.4 Lt 5p;51.900;2017;139.000 Km;Centro - Poços de Caldas
Nissan Kicks 1.6 16v Flexstart Sv 4p Xtronic;84.900;2018;139.000 Km;Centro - Poços de Caldas
Fiat Mobi 1.0 Evo Flex Like. Manual;49.900;2020;139.000 Km;Centro - Poços de Caldas
Ford Fiesta 1.0 Rocam Se Flex 5p;34.900;2014;139.000 Km;Centro - Poços de Caldas
Ford Ka 1.0 Se Flex 4p;48.900;2019;139.000 Km;Centro - Poços de Caldas
Volkswagen Gol 1.6 Vht Total Flex 3p;38.900;2015;139.000 Km;Centro - Poços de Caldas
Renault Duster 1.6 16v Expression Hi-flex 5p;58.900;2016;139.000 Km;Centro - Poços de Caldas
Volkswagen Fox 1.6 Connect Total Flex 5p;52.000;2018;139.000 Km;Centro - Poços de Caldas
Volvo Xc40 2.0 T5 Gasolina Momentum Awd Geartronic;135.900;2019;139.000 Km;Centro - Poços de Caldas
Volkswagen Up! 1.0 Take 5p;34.900;2015;139.000 Km;Centro - Poços de Caldas
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual;58.900;2018;139.000 Km;Centro - Poços de Caldas
Toyota Etios X 1.3 Flex 16v 5p Aut.;54.900;2017;139.000 Km;Centro - Poços de Caldas
Hyundai Creta 2.0 16v Flex Prestige Automático;101.900;2020;139.000 Km;Centro - Poços de Caldas
Jeep Compass 2.0 16v Diesel Longitude 4x4 Automático;102.800;2018;139.000 Km;Centro - Poços de Caldas
Fiat Argo 1.0 Drive Flex 5p;52.900;2019;139.000 Km;Centro - Poços de Caldas
Ford Fiesta 1.6 Rocam Hatch 8v Flex 4p Manual;37.900;2013;139.000 Km;Centro - Poços de Caldas
Fiat 500 Cult;39.990;2012;139.000 Km;Centro - Poços de Caldas
Volkswagen Gol 1.6 Msi Totalflex 4p Manual;49.900;2019;139.000 Km;Centro - Poços de Caldas
Audi Q3 1.4 Tfsi Flex Prestige S Tronic;122.751;2019;139.000 Km;Centro - Poços de Caldas
Hyundai Creta 2.0 16v Flex Prestige Automático;97.900;2020;139.000 Km;Centro - Poços de Caldas
Volkswagen T-cross 1.0 200 Tsi Aut. 5p;90.900;2020;139.000 Km;Centro - Poços de Caldas
Volkswagen Gol 1.6 Msi Totalflex 4p Manual;49.900;2019;139.000 Km;Centro - Poços de Caldas
Ford Ka 1.0 Ti-vct Flex Se Sedan Manual;46.890;2020;139.000 Km;Centro - Poços de Caldas
Jaguar F-pace 3.0 V6 R-sport Supercharged 5p;234.900;2017;139.000 Km;Centro - Poços de Caldas
Volkswagen Voyage 1.0 12v Total Flex 4p;47.900;2019;139.000 Km;Centro - Poços de Caldas
Chevrolet Onix 1.0 Joy 5p;49.900;2018;139.000 Km;Centro - Poços de Caldas
Audi Q3 1.4 Tfsi Attraction Gasolina 4p S Tronic;91.900;2016;139.000 Km;Centro - Poços de Caldas
Renault Sandero 1.6 Privilége 8v Flex 4p Manual;29.890;2012;139.000 Km;Centro - Poços de Caldas
Suzuki Vitara 1.6 16v Gasolina 4you Allgrip Automático;86.900;2018;139.000 Km;Centro - Poços de Caldas
Ford Ka 1.0 Se Flex 5p;41.900;2017;139.000 Km;Centro - Poços de Caldas
Fiat Uno 1.4 Evo Sporting 8v Flex 4p Automatizado;48.990;2016;89.000 Km;Belo Horizonte
Renault Sandero 1.0 Expression 16v Flex 4p Manual;29.990;2014;89.000 Km;Belo Horizonte
Chevrolet Onix Hatch Ls 1.0 8v Flexpower 5p Mec.;44.900;2015;89.000 Km;Belo Horizonte
Jeep Renegade 1.8 16v Flex 4p Automático;75.990;2018;89.000 Km;Belo Horizonte
Chevrolet Prisma 1.0 Lt 4p;43.900;2014;89.000 Km;Belo Horizonte
Renault Sandero 1.0 12v Sce Flex Authentique Manual;43.990;2018;89.000 Km;Belo Horizonte
Ford Ecosport Ford Ecosport Ecosport Se Powershift 1.6 (flex);56.900;2016;89.000 Km;Belo Horizonte
Fiat Mobi 1.0 Evo Like.;47.499;2020;89.000 Km;Belo Horizonte
Hyundai Creta 1.6 Attitude Flex Aut. (pcd) 5p;78.900;2018;89.000 Km;Belo Horizonte
Ford Ka 1.0 Mpi 8v Flex 2p Manual;22.900;2012;89.000 Km;Belo Horizonte
Fiat Mobi Easy;39.900;2018;89.000 Km;Belo Horizonte
Jeep Compass 2.0 Trailhawk Aut. 5p;115.900;2018;89.000 Km;Belo Horizonte
Chevrolet Onix Hatch Joy 1.0 8v Flex 5p Mec.;47.900;2019;89.000 Km;Belo Horizonte
Fiat Uno 1.4 Evo Sporting 8v Flex 4p Manual;32.990;2014;89.000 Km;Belo Horizonte
Jeep Renegade 2.0 16v Turbo Diesel Trailhawk 4p 4x4 Automático;118.900;2019;89.000 Km;Belo Horizonte
Jeep Renegade 1.8 16v Flex 4p Automático;79.900;2020;89.000 Km;Belo Horizonte
Citroën C3 1.5 Exclusive 8v Flex 4p Manual;41.900;2015;89.000 Km;Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;48.900;2019;89.000 Km;Belo Horizonte
Nissan Kicks 1.6 16v Sl Aut. 5p;78.900;2017;89.000 Km;Belo Horizonte
Renault Kwid 1.0 Outsider 12v Sce 5p;47.990;2020;89.000 Km;Belo Horizonte
Renault Captur 1.6 16v Sce Flex Intense X-tronic;75.900;2019;89.000 Km;Belo Horizonte
Jeep Compass 2.0 Longitude Flex Aut. 5p;89.900;2018;89.000 Km;Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Plus Manual;57.900;2020;89.000 Km;Belo Horizonte
Ford Ka 1.0 Se Flex 5p;36.900;2015;89.000 Km;Belo Horizonte
Ford Ka 1.5 Se Plus 12v Flex 5p Mec.;56.980;2020;89.000 Km;Belo Horizonte
Hyundai Ix35 2.0 Mpfi Gls 16v Flex 4p Automático;89.900;2016;89.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;93.800;2018;89.000 Km;Belo Horizonte
Chery Tiggo 5x 1.5 Vvt Turbo Iflex Txs Dct;89.990;2020;89.000 Km;Belo Horizonte
Renault Duster 1.6 16v Sce Flex Expression Manual;68.900;2018;89.000 Km;Belo Horizonte
Honda Accord 3.0 Ex V6 24v Gasolina 4p Automático;49.900;2007;89.000 Km;Belo Horizonte
Jeep Compass 2.0 16v Flex Longitude Automático;93.900;2018;89.000 Km;Belo Horizonte
Peugeot 2008 1.6 16v Flex Griffe 4p Automático;59.900;2016;89.000 Km;Belo Horizonte
Citroën C3 1.6 Picasso Glx 16v Flex 4p Manual;30.990;2012;89.000 Km;Belo Horizonte
Renault Sandero 1.0 12v Sce Flex Life Manual;48.900;2020;89.000 Km;Belo Horizonte
Volvo Xc90 2.0 T8 Hybrid Inscription Awd Geartronic;315.900;2020;89.000 Km;Belo Horizonte
Jeep Renegade 2.0 Sport 75 Anos 4x4 Aut. 5p;86.800;2016;89.000 Km;Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;51.900;2020;89.000 Km;Belo Horizonte
Land Rover Evoque 2.0 Si4 Se Dynamic 5p;124.900;2016;89.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Touring 4p Automático;99.900;2017;89.000 Km;Belo Horizonte
Volkswagen Gol 1.0 Mi Trendline 8v Flex 4p Manual;37.990;2015;89.000 Km;Belo Horizonte
Audi Q3 1.4 Tfsi Ambiente Gasolina 4p S Tronic;84.700;2016;89.000 Km;Belo Horizonte
Chevrolet Tracker 1.4 16v Turbo Flex Premier Automático;84.990;2018;89.000 Km;Belo Horizonte
Volkswagen Up! 1.0 Mpi Move Up 12v Flex 4p Manual;44.900;2016;89.000 Km;Belo Horizonte
Renault Duster 1.6 16v Sce Flex Expression Manual;64.900;2018;89.000 Km;Belo Horizonte
Hyundai Hb20 1.0 Comfort 12v Flex 4p Manual;49.900;2017;89.000 Km;Belo Horizonte
Volkswagen Fox 1.0 Mi 8v Flex 4p Manual;32.900;2011;89.000 Km;Belo Horizonte
Ford Ka Se 1.0 Ha C;54.740;2020;89.000 Km;Belo Horizonte
Mercedes-benz Classe Ml Ml63 Amg Bi Turbo V8;218.000;2014;89.000 Km;Belo Horizonte
Audi Q5 2.0 Tfsi Gasolina Ambiente S Tronic;167.900;2018;81.000 Km;Belo Horizonte
Renault Kwid 1.0 12v Sce Flex Zen Manual;46.900;2019;81.000 Km;Belo Horizonte
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual;48.900;2015;81.000 Km;Belo Horizonte
Jeep Renegade 2.0 16v Turbo Diesel Sport 4p 4x4 Aut;83.900;2016;81.000 Km;Belo Horizonte
Toyota Etios Sedán Toyota Etios Sedan X Plus 1.5 (aut) (flex);65.900;2020;81.000 Km;Belo Horizonte
Fiat Uno Fiat Uno Sporting 1.4 8v (flex) 4p;36.900;2014;81.000 Km;Belo Horizonte
Kia Sorento 3.3 Ex V6 24v Gasolina 4p 7 Lugares Automatico;146.900;2018;81.000 Km;Belo Horizonte
Chevrolet Prisma 1.4 Lt 4p;58.900;2018;81.000 Km;Belo Horizonte
Fiat Uno Drive 1.0 Firefly (flex);39.900;2018;81.000 Km;Belo Horizonte
Ford Ka 1.0 Se 12v Flex 4p Manual;45.900;2017;81.000 Km;Belo Horizonte
Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;43.900;2018;81.000 Km;Belo Horizonte
Jeep Compass 2.0 Limited Flex Aut. 5p;89.900;2017;81.000 Km;Belo Horizonte
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático;125.900;2017;81.000 Km;Belo Horizonte
Volkswagen Fox 1.6 Connect Total Flex 5p;52.900;2018;81.000 Km;Belo Horizonte
Hyundai Hb20s 1.6 Comfort Style 16v Flex 4p Automático;69.900;2019;81.000 Km;Belo Horizonte
Fiat Mobi 1.0 Like Flex 5p;48.000;2018;81.000 Km;Belo Horizonte
Ford Fiesta 1.6 8v Flex/class 1.6 8v Flex 5p;29.900;2011;81.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;92.900;2016;81.000 Km;Belo Horizonte
Ford Fiesta 1.5 Se Flex 5p;44.300;2016;81.000 Km;Belo Horizonte
Ford Ecosport 2.0 Direct Flex Storm 4wd Automático;79.900;2019;81.000 Km;Belo Horizonte
Ford Ka 1.0 Se Flex 4p;49.900;2020;81.000 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Total Flex 5p;49.900;2019;81.000 Km;Belo Horizonte
Jeep Renegade 1.8 Longitude Flex Aut. 5p;71.900;2016;81.000 Km;Belo Horizonte
Jeep Compass 2.0 Longitude Aut. 5p;109.900;2018;81.000 Km;Belo Horizonte
Land Rover Discovery Sport 2.0 16v Si4 Turbo Gasolina Hse Luxury 4p Automático;150.900;2018;81.000 Km;Belo Horizonte
Jeep Renegade 1.8 Sport Flex Aut. 5p;68.999;2016;81.000 Km;Belo Horizonte
Land Rover Discovery Sport 2.0 16v Td4 Turbo Diesel Hse 4p Automático;129.800;2017;81.000 Km;Belo Horizonte
Volkswagen Gol 1.0 Mi 8v Flex 2p Manual G.iv;23.890;2010;81.000 Km;Belo Horizonte
Fiat Punto 1.4 Attractive Italia 8v Flex 4p Manual;39.990;2013;81.000 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Total Flex 5p;49.900;2019;81.000 Km;Belo Horizonte
Nissan Kicks 1.6 16v Sl Aut. 5p;82.990;2018;81.000 Km;Belo Horizonte
Fiat Uno 1.0 Fire Flex Attractive Manual;46.900;2020;81.000 Km;Belo Horizonte
Jeep Renegade 1.8 16v Flex Limited 4p Aut;77.900;2017;81.000 Km;Belo Horizonte
Renault Duster 2.0 Dynamique 4x4 16v Flex 4p Manual;60.900;2017;81.000 Km;Belo Horizonte
Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p;89.900;2018;81.000 Km;Belo Horizonte
Renault Captur 1.6 16v Sce Flex Bose X-tronic;83.990;2020;81.000 Km;Belo Horizonte
Citroën C3 1.6 Exclusive 16v Flex 4p Manual;35.900;2013;81.000 Km;Belo Horizonte
Honda Hr-v 1.8 Ex Flex Aut. 5p;115.000;2019;81.000 Km;Belo Horizonte
Bmw X2 2.0 Twinpower Gasolina M35i Xdrive Steptronic;269.800;2020;81.000 Km;Belo Horizonte
Chevrolet Prisma 1.4 Lt 4p;49.900;2014;81.000 Km;Belo Horizonte
Renault Sandero 1.6 Expression Hi-power 5p;38.900;2016;81.000 Km;Belo Horizonte
Citroën C3 1.4 8v Glx Flex 5p;26.900;2010;81.000 Km;Belo Horizonte
Volkswagen Fox 1.6 Mi Rock In Rio 8v Flex 4p;52.000;2015;81.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Exl 4p Automático;84.900;2016;81.000 Km;Belo Horizonte
Chevrolet Prisma 1.0 Mpfi Lt 8v Flex 4p Manual;37.900;2013;81.000 Km;Belo Horizonte
Renault Sandero 1.6 Expression Hi-power 5p;45.900;2016;81.000 Km;Belo Horizonte
Volkswagen Golf 1.6 Msi Comfortline Flex 5p;72.900;2016;81.000 Km;Belo Horizonte
Ford Ka+ 1.0 Se Flex 4p;48.900;2020;81.000 Km;Belo Horizonte
Jeep Renegade 2.0 Longitude 4x4 Aut. 5p;97.000;2019;72.000 Km;Andradas
Renault Captur 1.6 16v Sce Flex Zen Manual;73.990;2018;72.000 Km;Andradas
Ford Focus 2.0 Titanium Sedan 16v Flex 4p Automático;30.000;2013;72.000 Km;Andradas
Bmw X6 4.4 M 5p;150.000;2011;72.000 Km;Andradas
Land Rover Discovery 4 3.0 Black 4x4 V6 24v Bi-turbo Diesel 4p Automático;189.900;2016;72.000 Km;Andradas
Jeep Renegade 1.8 Sport Flex 5p;67.900;2018;72.000 Km;Andradas
Audi Q3 1.4 35 Tfsi Gasolina Prestige S Tronic;154.990;2020;72.000 Km;Andradas
Jeep Compass 2.0 16v Flex Longitude Automático;113.900;2020;72.000 Km;Andradas
Renault Duster 1.6 Expression 4x2 16v Flex 4p Manual;56.900;2015;72.000 Km;Andradas
Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv;34.900;2014;72.000 Km;Andradas
Renault Sandero 1.0 Expression 16v Flex 4p Manual;33.990;2012;72.000 Km;Andradas
Fiat Argo 1.3 Firefly Flex Drive Gsr;54.000;2018;72.000 Km;Andradas
Volkswagen Gol 1.0 Track Tec Total Flex 5p;38.900;2014;72.000 Km;Andradas
Peugeot 207 1.4 Xr Sport Flex 5p;20.900;2009;72.000 Km;Andradas
Chevrolet Onix 1.4mt Lt;48.900;2015;72.000 Km;Andradas
Volkswagen Voyage 1.6 Vht Comfortline Total Flex 4p;33.900;2011;72.000 Km;Andradas
Jeep Renegade Longitude 1.8 4x2 Flex 16v Aut.;71.900;2016;72.000 Km;Andradas
Honda City 1.5 Lx Flex Aut. 4p;64.900;2015;72.000 Km;Andradas
Jeep Compass 2.0 16v Flex Sport Automático;97.900;2018;72.000 Km;Andradas
Renault Captur 1.6 16v Sce Flex Zen Manual;77.900;2019;72.000 Km;Andradas
Ford Ka Sedan 1.5 Sigma Flex Se Plus Manual;54.900;2018;72.000 Km;Andradas
Ford Ka 1.5 Ti-vct Flex Se Plus Sedan Manual;55.900;2019;72.000 Km;Andradas
Jeep Renegade Longitude 1.8 4x2 Flex 16v Aut.;70.900;2016;72.000 Km;Andradas
Citroën C3 1.6 Vti 16v Tendance Flex Aut. 5p;43.000;2015;72.000 Km;Andradas
Volkswagen Up! 1.0 Tsi Pepper 5p;65.900;2019;72.000 Km;Andradas
Volkswagen T-cross 1.4 Highline 250 Tsi Aut. 5p;99.900;2020;72.000 Km;Andradas
Fiat Siena 1.4 Mpi El 8v Flex 4p Manual;33.990;2013;72.000 Km;Andradas
Volkswagen Gol 1.6 Msi Totalflex 4p Manual;49.990;2019;72.000 Km;Andradas
Volvo Xc60 2.4 D5 Momentum Awd 5p;119.900;2017;72.000 Km;Andradas
Renault Kwid 1.0 12v Sce Flex Zen Manual;39.900;2020;72.000 Km;Andradas
Hyundai Hb20 1.0 Comfort Flex 5p;53.500;2018;72.000 Km;Andradas
Chevrolet Onix 1.4 Mpfi Lt 8v Flex 4p Manual;48.900;2015;72.000 Km;Andradas
Chevrolet Equinox 2.0 16v Turbo Gasolina Premier Awd Automático;119.900;2019;72.000 Km;Andradas
Hyundai Hb20s 1.6 Comfort Style Flex Aut. 4p;61.900;2017;72.000 Km;Andradas
Renault Kwid 1.0 12v Sce Flex Intense Manual;41.900;2019;72.000 Km;Andradas
Renault Sandero 1.6 16v Gt-line Sce 5p;52.900;2019;72.000 Km;Andradas
Mitsubishi Asx 2.0 4x4 Awd 16v Gasolina 4p Automático;72.900;2016;72.000 Km;Andradas
Ford Ka 1.0 S Flex 5p;38.900;2018;72.000 Km;Andradas
Chevrolet Equinox 2.0 Lt Turbo Aut. 5p;106.990;2018;72.000 Km;Andradas
Volkswagen Gol 1.6 Vht Tretotal Flex 5p;35.200;2013;72.000 Km;Andradas
Chevrolet Cruze Sedan 1.8 Lt Ecotec 6 Aut. 4p;51.410;2012;72.000 Km;Andradas
Citroën C3 1.6 Vti 16v Tendance Flex Aut. 5p;45.900;2015;72.000 Km;Andradas
Volkswagen T-cross 1.0 Sense 200 Tsi Aut. (pcd) 5p;92.400;2020;72.000 Km;Andradas
